Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 3	Unnamed: 4
22671 28/11/2024	SCOTTS CANADA LTD	LACHINE,PQ WINNIPEG,MB	725.00 CA	550.00 175.00
22672 02/12/2024	SCOTTS CANADA LTD	ST-LUDGER DE MILOST-BONAVENTURE	1,200.00 CA	1,000.00 200.00
22673 04/12/2024	SCOTTS CANADA LTD	SAINT CATHARINESST-BONAVENTURE	1,450.00 CA	1,100.00 350.00
22674 04/12/2024	EMBALLAGES AT	MIRABEL,PQ NEW YORK,NY	1,450.00 CA	999.50 450.50
22675 11/12/2024	EMBALLAGES AT	NEW YORK,NY MIRABEL,PQ	1,500.00 CA	999.61 500.39
22676 04/12/2024	CAPMATIC	MONTREAL-NORD,PSQT-LAURENT,PQ	225.00 CA	130.00 95.00
22677 04/12/2024	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	1,350.00 CA	1,050.00 300.00
22678 10/12/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,000.00 300.00
22679 11/12/2024	SCOTTS QUALI-GRO	MIRAMICHI,NB L'ORIGNAL,ON	1,300.00 CA	1,100.00 200.00
22680 12/12/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,500.00 CA	1,100.00 400.00
22681 13/12/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,200.00 CA	900.00 300.00
22682 05/12/2024	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ	275.00 CA	150.00 125.00
22683 05/12/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	1,050.00 CA	900.00 150.00
22684 05/12/2024	CAPMATIC	ST-LAURENT,PQ MONTREAL-NORD,PQ	150.00 CA	90.00 60.00
22685 05/12/2024	EMBALLAGES AT	MIRABEL,PQ WEST BRANCH,NB	775.00 CA	575.00 200.00
22686 06/12/2024	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ	150.00 CA	100.00 50.00
22688 06/12/2024	EMBALLAGES AT	HAYWARD,CA MIRABEL,PQ	955.00 CA	700.00 255.00
22689 09/12/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	130.00 95.00
22690 09/12/2024	ENGRAIS McINNES	STANSTEAD,PQ CHARLESBOURG,PQ	650.00 CA	530.00 120.00
22691 10/12/2024	SCOTTS DELHI	DELHI,ON DORVAL,PQ	1,200.00 CA	950.00 250.00
22692 16/12/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22693 17/12/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22694 19/12/2024	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE	1,300.00 CA	1,000.00 300.00
22695 11/12/2024	SCOTTS CANADA LTD	LACHINE,PQ WINNIPEG,MB	965.00 CA	825.00 140.00
22696 12/12/2024	SCOTTS CANADA LTD	LACHINE,PQ MIRAMICHI,NB	625.00 CA	450.00 175.00
22697 12/12/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	100.00 125.00
22698 16/12/2024	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	1,350.00 CA	1,050.00 300.00
22699 17/12/2024	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	1,350.00 CA	1,050.00 300.00
22700 18/12/2024	SCOTTS DELHI	DELHI,ON ST-BONAVENTURE	1,350.00 CA	1,050.00 300.00
22701 13/12/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	225.00 CA	100.00 125.00
22702 16/12/2024	DVOLU	BOUCHERVILLE,PQ MONTREAL,PQ	450.00 CA	325.00 125.00
22703 17/12/2024	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ	250.00 CA	145.00 105.00
22704 16/12/2024	SCOTTS DELHI	DELHI,ON MIRAMICHI,NB	395.00 CA	227.47 167.53
22706 16/12/2024	SCOTTS CANADA LTD	LACHINE,PQ DELHI,ON	1,200.00 CA	900.00 300.00
22707 17/12/2024	SCOTTS CANADA LTD	LACHINE,PQ L'ORIGNAL,ON	750.00 CA	550.00 200.00
