Unnamed: 0	Unnamed: 1	(By Requested Pickup date)	Unnamed: 4
21772 13/03/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 255.00 CA	160.00 95.00
21773 14/03/2023	CAPMATIC	TERREBONNE,PQ MONTREAL-NORD,PQ 240.00 CA	130.00 110.00
21774 16/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	1,000.00 200.00
21775 17/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	1,000.00 200.00
21776 20/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,150.00 250.00
21777 21/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,100.00 400.00
21778 20/03/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 225.00 CA	145.00 80.00
21779 21/03/2023	CAPMATIC	DORVAL,PQ MONTREAL-NORD,PQ 150.00 CA	115.00 35.00
21780 28/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,500.00 CA	1,200.00 300.00
21781 29/03/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,200.00 CA	900.00 300.00
21782 03/04/2023	SCOTTS CANADA LTD	MIRAMICHI,NB ST-BONAVENTURE 1,400.00 CA	1,100.00 300.00
21783 28/03/2023	CAPMATIC	BOUCHERVILLE,PQ MONTREAL-NORD,PQ 285.00 CA	145.00 140.00
21787 05/04/2023	THEATRIXX TECHNOLOGIES	MONTREAL,PQ LAS VEGAS,NV 7,100.00 CA	6,100.00 1,000.00
21788 31/03/2023	EMBALLAGES AT	MIRABEL,PQ WEST BRANCH,NB 1,015.00 CA	925.00 90.00
21789 20/04/2023	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV MONTREAL,PQ 3,990.00 CA	3,117.07 872.93
21790 03/04/2023	GMJ LOGISTIQUE	MONTREAL-EST,PQTULSA,OK 600.00 CA	450.00 150.00
21791 05/04/2023	CAPMATIC	LONDON,ON MONTREAL-NORD,PQ 2,725.00 CA	2,000.00 725.00
